sep=,
"Code","Description","Category","Last Cost","Avg. Cost","Excl. Price","Incl. Price","GP %","GP Amount","Qty on Hand","Active","Phys."
"05DG","40 CM Elbow Welding Glove Green",,"R 0.00","0","63.84","73.42","0","63.84","0","Yes","Yes"
"1000Cc","100 Canopy Catches",,"R 0.00","0","71","81.65","0","71","0","Yes","Yes"
"100BC","100mm Blue Castor Swivel S/ELS B/HOLE",,"R 70.98","7.47","95","109.25","92.14","87.53","30","Yes","Yes"
"100GG","100W Glue Gun",,"R 0.00","0","140","161","0","140","4","Yes","Yes"
"100Hb","100mm Hinge Butt B/S(each)",,"R 0.00","0","12","13.8","0","12","3","Yes","Yes"
"100mlcga","100ml Genkem Contact Adhensive",,"R 37.00","37","81","93.15","54.32","44","-13","Yes","Yes"
"100MNW","100mm Nail Wire (Per Kg)",,"R 27.16","13.58","42.5","48.87","68.05","28.92","2","Yes","Yes"
"100MPB","100mm Pad Bolt",,"R 156.48","26.08","32","36.8","18.5","5.92","6","Yes","Yes"
"100PB","100mm Plunger Basin",,"R 0.00","0","35","40.25","0","35","10","Yes","Yes"
"1022S","10/22J Staple(Per 5000)",,"R 0.00","0","163","187.45","0","163","5","Yes","Yes"
"103mBS","10mm x 3m Brass Square",,"R 0.00","0","1190","1368.5","0","1190","5","Yes","Yes"
"10GS","10mm Grip Staples per 1000",,"R 0.00","0","103.5","119.02","0","103.5","5","Yes","Yes"
"10HAR","10mm Hose Air Rubber It(Per Meter)",,"R 10.50","10.5","41","47.15","74.39","30.5","100","Yes","Yes"
"10MMCS","10MM Combination Spanner",,"R 12.16","12.74","22","25.3","42.09","9.26","10","Yes","Yes"
"10mmMH","MTS Maghook Tape 10m",,"R 0.00","0","140","161","0","140","3","Yes","Yes"
"10NLF","Nylon Fitting Lope Insert Equal Elbow 10mm",,"R 0.00","0","7.13","8.2","0","7.13","-200","Yes","Yes"
"10tH","10mm Turnbuckle H/E",,"R 18.23","12.76","40","46","68.1","27.24","10","Yes","Yes"
"10wrcc","10mm White Round Cable Clip(Per 100)",,"R 35.33","4.42","35","40.25","87.37","30.58","10","Yes","Yes"
"110lSC","110L Storage Container",,"R 0.00","0","250.6","288.19","0","250.6","0","Yes","Yes"
"110PVCC","110mm PVC Pan Connect Flex",,"R 37.08","0.04","235.8","271.17","99.98","235.76","10008","Yes","Yes"
"1151CD","115x1mm cutting disc-10",,"R 8.35","0.08","110","126.5","99.93","109.92","988","Yes","Yes"
"1151mCD","115x1mm Cutting Disc [Per 5]",,"R 5.39","9.15","43.99","50.59","79.2","34.84","39","Yes","Yes"
"115X25CD","Cutting Disc 115x2,4",,"R 5.46","0.11","20","23","99.45","19.89","1010","Yes","Yes"
"116S","1x16A Plug Ind C/Tree Socket",,"R 50.23","50.24","150","172.5","66.51","99.76","2","Yes","Yes"
"120HCD","C/P 120 Hook Coat Double(each)",,"R 0.00","0","63","72.45","0","63","0","Yes","Yes"
"1230mDST","RDA Double Sided Tape 12x30m",,"R 27.50","19.3","44.85","51.58","56.97","25.55","352","Yes","Yes"
"125mSP","125mm Blue Rubber Swivel Plate",,"R 110.37","88.3","209","240.35","57.75","120.7","5","Yes","Yes"
"125PBHS","Pegboard Hook Steel 125mm",,"R 0.00","0","8.2","9.43","0","8.2","100","Yes","Yes"
"127MHC","127mm Hat & Coat Hook (each)",,"R 9.53","9.7","25.99","29.89","62.68","16.29","30","Yes","Yes"
"1285TH","12x85mm Tekscrew HEX (Per 100)",,"R 0.00","0","196","225.4","0","196","4.28","Yes","Yes"
"1290ts","12x90 Tekscrew",,"R 0.00","0","127","146.05","0","127","45","Yes","Yes"
"12EL","12m Extension Ladder",,"R 0.00","0","8599","9888.85","0","8599","1","Yes","Yes"
"12MDJFBF","12,00mm Drill Jobber FEW BF",,"R 0.00","0","127.5","146.63","0","127.5","9998","Yes","Yes"
"12mmMatc","12mmx33m Magc Tape Clear","Tapes","R 33.00","33","0","0","0","-33","-50","Yes","Yes"
"1335D","13x3.5mm Magnet Disc",,"R 28.00","14","31.5","36.22","55.56","17.5","20","Yes","Yes"
"13BH","13 Litre Bucket with handle",,"R 20.77","8.31","62","71.3","86.6","53.69","5","Yes","Yes"
"13LSB","13 Litre Storage Container with Lid",,"R 0.00","0","99","113.85","0","99","2","Yes","Yes"
"13mm HAR","13mm Hose Air Rubber (Per Meter)",,"R 0.00","0","95","109.25","0","95","10","Yes","Yes"
"13MMCS","13MM Combination Spanner",,"R 13.21","13.83","23.75","27.31","41.77","9.92","10","Yes","Yes"
"142BU","BOLT HT UNC 1/4 x2",,"R 0.00","0","256","294.4","0","256","4.9","Yes","Yes"
"14cb100","1.0mm x 4 CORE BLACK CABTYRE /100M",,"R 0.00","0","2045","2351.75","0","2045","2","Yes","Yes"
"14IHS","1/4 Inch Hex Socket FM",,"R 0.00","0","29.5","33.92","0","29.5","1","Yes","Yes"
